HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_ATCC_17978	Aggregatibacter_actinomycetemcomitans_624	Aggregatibacter_actinomycetemcomitans_VT1169	Agrobacterium_fabrum	Azoarcus_olearius_DQS-4	Bacteroides_thetaiotaomicron_VPI-5482	Bradyrhizobium_diazoefficiens	Brevundimonas_subvibrioides	Burkholderia_cenocepacia_J2315	Campylobacter_jejuni_81-176	Caulobacter_crescentus	Caulobacter_vibrioides	Citrobacter_rodentium_ICC168	Clostridium_difficile_R20291	Enterobacter_cloacae_ATCC_13047	Escherichia_coli_BW25113	Escherichia_coli_Nissle_1917	Escherichia_coli_UTI89	Francisella_tularensis_Schu_S4	Herbaspirillum_seropedicae_SmR1	Klebsiella_pneumoniae_ATCC_43816_KPPR1	Legionella_pneumophila_Philadelphia_1	Mycobacterium_tuberculosis_H37Rv	Neisseria_meningitidis_Z2491	Novosphingobium_aromaticivorans	Porphyromonas_gingivalis_ATCC_33277	Providencia_stuartii_BE2467	Pseudomonas_aeruginosa_PAO1	Pseudomonas_aeruginosa_UCBPP-PA14	Pseudomonas_simiae_WCS417	Pseudomonas_syringae_B728a	Ralstonia_solanacearum_GMI1000	Ralstonia_solanacearum_IBSBF1503	Ralstonia_solanacearum_PSI07	Rhodobacter_sphaeroides	Rhodopseudomonas_palustris	Salmonella_enterica_14028S	Salmonella_typhi_CT18	Salmonella_typhimurium_SL1344	Snodgrassella_alvi_wkB2	Sphingomonas_wittichii	Staphylococcus_aureus_6850	Staphylococcus_aureus_MRSA252	Staphylococcus_aureus_MSSA476	Staphylococcus_aureus_NCTC_8325	Staphylococcus_aureus_USA300_TCH1516	Streptococcus_agalactiae_A909	Streptococcus_pneumoniae_BHN97x	Streptococcus_pneumoniae_TIGR4	Streptococcus_pyogenes_5448	Vibrio_anguillarum_425	Vibrio_cholerae_N16961	Vibrio_fischeri_ES114	Yersinia_pestis_CO92	Zymomonas_mobilis
N0.HOG0016481	OG0011529	-				At1D132_33610, At1D132_51100																																																			
N0.HOG0016482	OG0011530	-				At1D132_33660																			Rv1375																																
N0.HOG0016483	OG0011531	-				At1D132_33670																			Rv1376																																
N0.HOG0016484	OG0011532	-				At1D132_33810																															RSP_2190																				
N0.HOG0016485	OG0011533	-				At1D132_34400, At1D132_45660																																																			
N0.HOG0016486	OG0011534	-				At1D132_34480																																					Swit_1410														
N0.HOG0016487	OG0011535	-				At1D132_34730											ECL_03955																																								
N0.HOG0016488	OG0011536	-				At1D132_35080																										PS417_14215																									
N0.HOG0016489	OG0011537	-				At1D132_42580, At1D132_37240																																																			
N0.HOG0016490	OG0011538	-				At1D132_37500			BA000040v2__2279																																																
N0.HOG0016491	OG0011539	-				At1D132_37520																																RPA2366																			
N0.HOG0016492	OG0011540	-				At1D132_37870																Hsero_4023																																			
N0.HOG0016493	OG0011541	-				At1D132_38130	dqs_3718																																																		
N0.HOG0016494	OG0011542	-				At1D132_39390																																					Swit_0813														
N0.HOG0016495	OG0011543	-				At1D132_39870, At1D132_43050																																																			
N0.HOG0016496	OG0011544	-				At1D132_40050																											Psyr_3069																								
N0.HOG0016497	OG0011545	-				At1D132_40810, At1D132_45680																																																			
N0.HOG0016498	OG0011546	-				At1D132_40840																																															B5S57_12380				
N0.HOG0016499	OG0011547	-				At1D132_40970			BA000040v2__3066																																																
N0.HOG0016500	OG0011548	-				At1D132_41260			BA000040v2__6331																																																
N0.HOG0016501	OG0011549	-				At1D132_42570									ROD_48231																																										
N0.HOG0016502	OG0011550	-				At1D132_42780																															RSP_0868																				
N0.HOG0016503	OG0011551	-				At1D132_44510																																RPA1083																			
N0.HOG0016504	OG0011552	-				At1D132_44850			BA000040v2__5584																																																
N0.HOG0016505	OG0011553	-				At1D132_44970						CJJ81176_1312																																													
N0.HOG0016506	OG0011554	-				At1D132_45060		BT_1012																																																	
N0.HOG0016507	OG0011555	-				At1D132_45160																Hsero_3823																																			
N0.HOG0016508	OG0011556	-				At1D132_45310																							BGK56_12630																												
N0.HOG0016509	OG0011557	-				At1D132_45320																																RPA4039																			
N0.HOG0016510	OG0011558	-				At1D132_45470																																			SL1344_P3_0011																
N0.HOG0016511	OG0011559	-				At1D132_45570, At1D132_45600																																																			
N0.HOG0016512	OG0011560	-				At1D132_50340, At1D132_45590																																																			
N0.HOG0016513	OG0011561	-				At1D132_45880, At1D132_48800																																																			
N0.HOG0016514	OG0011562	-				At1D132_45910																															RSP_3645																				
N0.HOG0016515	OG0011563	-				At1D132_45920																														RPSI07_mp1551																					
N0.HOG0016516	OG0011564	-				At1D132_45970																										PS417_20465																									
N0.HOG0016517	OG0011565	-				At1D132_46000																		lpg1243																																	
N0.HOG0016518	OG0011566	-				At1D132_46030																							BGK56_20225																												
N0.HOG0016519	OG0011567	-				At1D132_46040																							BGK56_20220																												
N0.HOG0016520	OG0011568	-				At1D132_46050																							BGK56_20215																												
N0.HOG0016521	OG0011569	-				At1D132_46320	dqs_3221																																																		
N0.HOG0016522	OG0011570	-				At1D132_46380																																RPA1454																			
N0.HOG0016523	OG0011571	-				At1D132_47410			BA000040v2__4540																																																
N0.HOG0016524	OG0011572	-				At1D132_47450																		lpg1968																																	
N0.HOG0016525	OG0011573	-				At1D132_47820																																					Swit_4695														
N0.HOG0016526	OG0011574	-				At1D132_48390																															RSP_7618																				
N0.HOG0016527	OG0011575	-				At1D132_48620																			Rv2120c																																
N0.HOG0016528	OG0011576	-				At1D132_48830				Bresu_2924																																															
N0.HOG0016529	OG0011577	-				At1D132_48900			BA000040v2__1600																																																
N0.HOG0016530	OG0011578	-				At1D132_48910			BA000040v2__1601																																																
N0.HOG0016531	OG0011579	-				At1D132_50980, At1D132_49300																																																			
N0.HOG0016532	OG0011580	-				At1D132_49340, At1D132_51000																																																			
N0.HOG0016533	OG0011581	-				At1D132_49370, At1D132_51070																																																			
N0.HOG0016534	OG0011582	-				At1D132_49420													ECOLIN_25040																																						
N0.HOG0016535	OG0011583	-				At1D132_49630		BT_3941																																																	
N0.HOG0016536	OG0011584	-				At1D132_50520, At1D132_49740																																																			
N0.HOG0016537	OG0011585	-				At1D132_49770, At1D132_50550																																																			
N0.HOG0016538	OG0011586	-				At1D132_50560, At1D132_49780																																																			
N0.HOG0016539	OG0011587	-				At1D132_50570, At1D132_49790																																																			
N0.HOG0016540	OG0011588	-				At1D132_49810				Bresu_0536																																															
N0.HOG0016541	OG0011589	-				At1D132_51470, At1D132_49850																																																			
N0.HOG0016542	OG0011590	-				At1D132_49880, At1D132_51500																																																			
N0.HOG0016543	OG0011591	-				At1D132_51510, At1D132_49890																																																			
N0.HOG0016544	OG0011592	-				At1D132_51520, At1D132_49900																																																			
N0.HOG0016545	OG0011593	-				At1D132_51540, At1D132_49920																																																			
N0.HOG0016546	OG0011594	-				At1D132_50240																					Saro_0379																														
N0.HOG0016547	OG0011595	-				At1D132_50250																					Saro_0378																														
N0.HOG0016548	OG0011596	-				At1D132_50270																																					Swit_4965														
N0.HOG0016549	OG0011597	-				At1D132_50400		BT_2431																																																	
N0.HOG0016550	OG0011598	-				At1D132_50480																																					Swit_3677														
N0.HOG0016551	OG0011599	-				At1D132_50760			BA000040v2__7099																																																
N0.HOG0016552	OG0011600	-				At1D132_50890																																					Swit_5008														
N0.HOG0016553	OG0011601	-				At1D132_51160, At1D132_51190																																																			
N0.HOG0016554	OG0011602	-					dqs_0060																													RPSI07_mp1159																					
N0.HOG0016555	OG0011603	-					dqs_0209		BA000040v2__4258																																																
N0.HOG0016556	OG0011604	-					dqs_1062, dqs_0210																																																		
N0.HOG0016557	OG0011605	-					dqs_0216																														RSP_1069																				
N0.HOG0016558	OG0011606	-					dqs_0240, dqs_0239																																																		
N0.HOG0016559	OG0011607	-					dqs_0242																				Saro_2954																														
N0.HOG0016560	OG0011608	-					dqs_0283																																				Swit_3710														
N0.HOG0016561	OG0011609	-					dqs_0300																																				Swit_1319														
N0.HOG0016562	OG0011610	-					dqs_0362																								PA14_49020																										
N0.HOG0016563	OG0011611	-					dqs_0412									CDR20291_3133																																									
N0.HOG0016564	OG0011612	-					dqs_0537																														RSP_3190																				
N0.HOG0016565	OG0011613	-					dqs_0559																															RPA4627																			
N0.HOG0016566	OG0011614	-					dqs_0569									CDR20291_2618																																									
N0.HOG0016567	OG0011615	-					dqs_0584				BCAS0542																																														
N0.HOG0016568	OG0011616	-					dqs_0587																																	AL513384v1__204																	
N0.HOG0016569	OG0011617	-					dqs_0613								ROD_47141																																										
N0.HOG0016570	OG0011618	-					dqs_0635																																			SALWKB2_1855															
N0.HOG0016571	OG0011619	-					dqs_0665			Bresu_0695																																															
N0.HOG0016572	OG0011620	-					dqs_0689																																															VC_2455			
N0.HOG0016573	OG0011621	-					dqs_0690																																															VC_2456			
N0.HOG0016574	OG0011622	-					dqs_0824		BA000040v2__3134																																																
N0.HOG0016575	OG0011623	-					dqs_0866, dqs_0867																																																		
N0.HOG0016576	OG0011624	-					dqs_2434, dqs_0897																																																		
N0.HOG0016577	OG0011625	-					dqs_0902																								PA14_54070																										
N0.HOG0016578	OG0011626	-					dqs_1059																				Saro_3975																														
N0.HOG0016579	OG0011627	-					dqs_1067																																														B5S57_01800				
N0.HOG0016580	OG0011628	-					dqs_1068																																														B5S57_01795				
N0.HOG0016581	OG0011629	-					dqs_1069																																														B5S57_01790				
N0.HOG0016582	OG0011630	-					dqs_1071																																														B5S57_01785				
N0.HOG0016583	OG0011631	-					dqs_1073				BCAL1316																																														
N0.HOG0016584	OG0011632	-					dqs_1074																																														B5S57_01775				
N0.HOG0016585	OG0011633	-					dqs_1112															Hsero_1418																																			
N0.HOG0016586	OG0011634	-					dqs_1272																															RPA2267																			
N0.HOG0016587	OG0011635	-					dqs_1280, dqs_3206																																																		
N0.HOG0016588	OG0011636	-					dqs_1281																			NMA0432																															
N0.HOG0016589	OG0011637	-					dqs_1327																														RSP_6076																				
N0.HOG0016590	OG0011638	-					dqs_1354																				Saro_3028																														
N0.HOG0016591	OG0011639	-					dqs_1356																				Saro_3030																														
N0.HOG0016592	OG0011640	-					dqs_1372															Hsero_4186																																			
N0.HOG0016593	OG0011641	-					dqs_1379	BT_3401																																																	
N0.HOG0016594	OG0011642	-					dqs_1539																	lpg2467																																	
N0.HOG0016595	OG0011643	-					dqs_1616, dqs_3664																																																		
N0.HOG0016596	OG0011644	-					dqs_1617															Hsero_1301																																			
N0.HOG0016597	OG0011645	-					dqs_1618															Hsero_1300																																			
N0.HOG0016598	OG0011646	-					dqs_1623, dqs_1624																																																		
N0.HOG0016599	OG0011647	-					dqs_1650																													RPSI07_mp1157																					
N0.HOG0016600	OG0011648	-					dqs_1652																															RPA0123																			
N0.HOG0016601	OG0011649	-					dqs_3120, dqs_1654																																																		
N0.HOG0016602	OG0011650	-					dqs_1661																				Saro_1553																														
N0.HOG0016603	OG0011651	-					dqs_1824					CJJ81176_0441																																													
N0.HOG0016604	OG0011652	-					dqs_1827																															RPA2156																			
N0.HOG0016605	OG0011653	-					dqs_1830																	lpg1169																																	
N0.HOG0016606	OG0011654	-					dqs_1868				BCAL0431																																														
N0.HOG0016607	OG0011655	-					dqs_2325, dqs_1872																																																		
N0.HOG0016608	OG0011656	-					dqs_1894																	lpg0378																																	
N0.HOG0016609	OG0011657	-					dqs_1897				BCAS0477																																														
N0.HOG0016610	OG0011658	-					dqs_2720, dqs_1968																																																		
N0.HOG0016611	OG0011659	-					dqs_2588, dqs_1995																																																		
N0.HOG0016612	OG0011660	-					dqs_1996, dqs_2587																																																		
N0.HOG0016613	OG0011661	-					dqs_1997, dqs_2586																																																		
N0.HOG0016614	OG0011662	-					dqs_1998, dqs_2585																																																		
N0.HOG0016615	OG0011663	-					dqs_1999, dqs_2584																																																		
N0.HOG0016616	OG0011664	-					dqs_2015										ECL_03782																																								
N0.HOG0016617	OG0011665	-					dqs_2021																			NMA0775																															
N0.HOG0016618	OG0011666	-					dqs_2097																																				Swit_1065														
N0.HOG0016619	OG0011667	-					dqs_2337					CJJ81176_1386																																													
N0.HOG0016620	OG0011668	-					dqs_2363																								PA14_13630																										
N0.HOG0016621	OG0011669	-					dqs_2441									CDR20291_0021																																									
N0.HOG0016622	OG0011670	-					dqs_2449																														RSP_1375																				
N0.HOG0016623	OG0011671	-					dqs_2450																														RSP_2746																				
N0.HOG0016624	OG0011672	-					dqs_2494		BA000040v2__5881																																																
N0.HOG0016625	OG0011673	-					dqs_2636		BA000040v2__660																																																
N0.HOG0016626	OG0011674	-					dqs_2665																																																	YPO1531	
N0.HOG0016627	OG0011675	-					dqs_2718																														RSP_2742																				
N0.HOG0016628	OG0011676	-					dqs_2758, dqs_3768																																																		
N0.HOG0016629	OG0011677	-					dqs_2770																															RPA0363																			
N0.HOG0016630	OG0011678	-					dqs_2775																				Saro_1802																														
N0.HOG0016631	OG0011679	-					dqs_2797								ROD_43141																																										
N0.HOG0016632	OG0011680	-					dqs_2805																																																	YPO4064	
N0.HOG0016633	OG0011681	-					dqs_2811																		Rv1890c																																
N0.HOG0016634	OG0011682	-					dqs_2831																	lpg2849																																	
N0.HOG0016635	OG0011683	-					dqs_2888																																			SALWKB2_1405															
N0.HOG0016636	OG0011684	-					dqs_2902															Hsero_1591																																			
N0.HOG0016637	OG0011685	-					dqs_3111																									PS417_17445																									
N0.HOG0016638	OG0011686	-					dqs_3118																											RSp0043																							
N0.HOG0016639	OG0011687	-					dqs_3169								ROD_08231																																										
N0.HOG0016640	OG0011688	-					dqs_3388															Hsero_2756																																			
N0.HOG0016641	OG0011689	-					dqs_3390															Hsero_2753																																			
N0.HOG0016642	OG0011690	-					dqs_3720, dqs_3396																																																		
N0.HOG0016643	OG0011691	-					dqs_3419															Hsero_2741																																			
N0.HOG0016644	OG0011692	-					dqs_3505																															RPA3088																			
N0.HOG0016645	OG0011693	-					dqs_3577															Hsero_2987																																			
N0.HOG0016646	OG0011694	-					dqs_3780																									PS417_12975																									
N0.HOG0016647	OG0011695	-					dqs_3922																																			SALWKB2_0172															
N0.HOG0016648	OG0011696	-					dqs_3983																															RPA0361																			
N0.HOG0016649	OG0011697	-					dqs_4007				BCAM1803																																														
N0.HOG0016650	OG0011698	-					dqs_4066																																																VF_0843		
N0.HOG0016651	OG0011699	-						BT_0001, BT_0012																																																	
N0.HOG0016652	OG0011700	-						BT_0031, BT_2529																																																	
N0.HOG0016653	OG0011701	-						BT_0035, BT_2483																																																	
N0.HOG0016654	OG0011702	-						BT_0039, BT_0820																																																	
N0.HOG0016655	OG0011703	-						BT_2867, BT_0052																																																	
N0.HOG0016656	OG0011704	-						BT_0085																				PGN_0593																													
N0.HOG0016657	OG0011705	-						BT_0086, BT_4780																																																	
N0.HOG0016658	OG0011706	-						BT_0089																				PGN_0062																													
N0.HOG0016659	OG0011707	-						BT_0094																				PGN_0066																													
N0.HOG0016660	OG0011708	-						BT_0095																				PGN_0067																													
N0.HOG0016661	OG0011709	-						BT_0107, BT_2651																																																	
N0.HOG0016662	OG0011710	-						BT_1427, BT_0110																																																	
N0.HOG0016663	OG0011711	-						BT_0800, BT_0118																																																	
N0.HOG0016664	OG0011712	-						BT_0119, BT_0799																																																	
N0.HOG0016665	OG0011713	-						BT_2378, BT_0127																																																	
N0.HOG0016666	OG0011714	-						BT_1072, BT_0157																																																	
N0.HOG0016667	OG0011715	-						BT_0173																																															VF_A1117		
N0.HOG0016668	OG0011716	-						BT_0174																																															VF_A1118		
N0.HOG0016669	OG0011717	-						BT_0175								CDR20291_0781																																									
N0.HOG0016670	OG0011718	-						BT_0176																		NMA0720																															
N0.HOG0016671	OG0011719	-						BT_3499, BT_0197																																																	
N0.HOG0016672	OG0011720	-						BT_0217			BCAM0279																																														
N0.HOG0016673	OG0011721	-						BT_0231, BT_4547																																																	
N0.HOG0016674	OG0011722	-						BT_4548, BT_0232																																																	
N0.HOG0016675	OG0011723	-						BT_0233, BT_4549																																																	
N0.HOG0016676	OG0011724	-						BT_0261																				PGN_1143																													
N0.HOG0016677	OG0011725	-						BT_0276, BT_0278																																																	
N0.HOG0016678	OG0011726	-						BT_0316																				PGN_0477																													
N0.HOG0016679	OG0011727	-						BT_0324																				PGN_0321																													
N0.HOG0016680	OG0011728	-						BT_0328																				PGN_1599																													
N0.HOG0016681	OG0011729	-						BT_0343								CDR20291_1630																																									
N0.HOG0016682	OG0011730	-						BT_0352, BT_1206																																																	
N0.HOG0016683	OG0011731	-						BT_0357, BT_4579																																																	
N0.HOG0016684	OG0011732	-						BT_0435, BT_3607																																																	
N0.HOG0016685	OG0011733	-						BT_0497																				PGN_0558																													
N0.HOG0016686	OG0011734	-						BT_0518								CDR20291_0771																																									
N0.HOG0016687	OG0011735	-						BT_0519																				PGN_1372																													
N0.HOG0016688	OG0011736	-						BT_0522, BT_1167																																																	
N0.HOG0016689	OG0011737	-						BT_4339, BT_0543																																																	
N0.HOG0016690	OG0011738	-						BT_0573																				PGN_1354																													
N0.HOG0016691	OG0011739	-						BT_0574																				PGN_1356																													
N0.HOG0016692	OG0011740	-						BT_0575																				PGN_1357																													
N0.HOG0016693	OG0011741	-						BT_0576																				PGN_0197																													
N0.HOG0016694	OG0011742	-						BT_0577																				PGN_0198																													
N0.HOG0016695	OG0011743	-						BT_0591																				PGN_1093																													
N0.HOG0016696	OG0011744	-						BT_0616																				PGN_1660																													
N0.HOG0016697	OG0011745	-						BT_0628								CDR20291_1025																																									
N0.HOG0016698	OG0011746	-						BT_0639, BT_1556																																																	
N0.HOG0016699	OG0011747	-						BT_0640								CDR20291_0639																																									
N0.HOG0016700	OG0011748	-						BT_0660																				PGN_0211																													
N0.HOG0016701	OG0011749	-						BT_0672																				PGN_1540																													
N0.HOG0016702	OG0011750	-						BT_0701																				PGN_0915																													
N0.HOG0016703	OG0011751	-						BT_0703, BT_3434																																																	
N0.HOG0016704	OG0011752	-						BT_2176, BT_0723																																																	
N0.HOG0016705	OG0011753	-						BT_1308, BT_0727																																																	
N0.HOG0016706	OG0011754	-						BT_0744																				PGN_1052																													
N0.HOG0016707	OG0011755	-						BT_1286, BT_0760																																																	
N0.HOG0016708	OG0011756	-						BT_0776								CDR20291_1374																																									
N0.HOG0016709	OG0011757	-						BT_0959, BT_0777																																																	
N0.HOG0016710	OG0011758	-						BT_p548221, BT_0779																																																	
N0.HOG0016711	OG0011759	-						BT_0786																lpg0050																																	
N0.HOG0016712	OG0011760	-						BT_0809																				PGN_0514																													
N0.HOG0016713	OG0011761	-						BT_0826																				PGN_1034																													
N0.HOG0016714	OG0011762	-						BT_0827																				PGN_1498																													
N0.HOG0016715	OG0011763	-						BT_0830, BT_4674																																																	
N0.HOG0016716	OG0011764	-						BT_0834																				PGN_1471																													
N0.HOG0016717	OG0011765	-						BT_0887																				PGN_1003																													
N0.HOG0016718	OG0011766	-						BT_0889																				PGN_1001																													
N0.HOG0016719	OG0011767	-						BT_0890																				PGN_0907																													
N0.HOG0016720	OG0011768	-						BT_0900																				PGN_0876																													
N0.HOG0016721	OG0011769	-						BT_0901																				PGN_0348																													
N0.HOG0016722	OG0011770	-						BT_0902																				PGN_0349																													
N0.HOG0016723	OG0011771	-						BT_0903																				PGN_0525																													
N0.HOG0016724	OG0011772	-						BT_0904																				PGN_0526																													
N0.HOG0016725	OG0011773	-						BT_0908																				PGN_0530																													
N0.HOG0016726	OG0011774	-						BT_0914a																				PGN_1889																													
N0.HOG0016727	OG0011775	-						BT_0921																				PGN_0145																													
N0.HOG0016728	OG0011776	-						BT_0938, BT_0932																																																	
N0.HOG0016729	OG0011777	-						BT_0939, BT_0934																																																	
N0.HOG0016730	OG0011778	-						BT_0948, BT_2984																																																	
N0.HOG0016731	OG0011779	-						BT_4431, BT_0950																																																	
N0.HOG0016732	OG0011780	-						BT_0971								CDR20291_2425																																									
N0.HOG0016733	OG0011781	-						BT_1001															VK055_0593																																		
N0.HOG0016734	OG0011782	-						BT_1061, BT_1060																																																	
N0.HOG0016735	OG0011783	-						BT_1063																				PGN_1808																													
N0.HOG0016736	OG0011784	-						BT_1066																				PGN_0129																													
N0.HOG0016737	OG0011785	-						BT_4692, BT_1068																																																	
N0.HOG0016738	OG0011786	-						BT_1071, BT_2312																																																	
N0.HOG0016739	OG0011787	-						BT_1073, BT_2437																																																	
N0.HOG0016740	OG0011788	-						BT_2438, BT_1074																																																	
N0.HOG0016741	OG0011789	-						BT_1088																				PGN_0023																													
N0.HOG0016742	OG0011790	-						BT_1234, BT_1117																																																	
N0.HOG0016743	OG0011791	-						BT_3144, BT_1125																																																	
N0.HOG0016744	OG0011792	-						BT_3142, BT_1127																																																	
N0.HOG0016745	OG0011793	-						BT_2793, BT_1248																																																	
N0.HOG0016746	OG0011794	-						BT_1285, BT_3987																																																	
N0.HOG0016747	OG0011795	-						BT_1294																				PGN_1310																													
N0.HOG0016748	OG0011796	-						BT_1297																				PGN_1760																													
N0.HOG0016749	OG0011797	-						BT_1300																				PGN_1763																													
N0.HOG0016750	OG0011798	-						BT_1301																				PGN_1764																													
N0.HOG0016751	OG0011799	-						BT_1328																				PGN_0109																													
N0.HOG0016752	OG0011800	-						BT_1331																				PGN_0176																													
N0.HOG0016753	OG0011801	-						BT_1343, BT_1710																																																	
N0.HOG0016754	OG0011802	-						BT_1354																				PGN_1033																													
N0.HOG0016755	OG0011803	-						BT_1365																				PGN_0138																													
N0.HOG0016756	OG0011804	-						BT_1429, BT_1384																																																	
N0.HOG0016757	OG0011805	-						BT_3737, BT_1435																																																	
N0.HOG0016758	OG0011806	-						BT_2535, BT_1461																																																	
N0.HOG0016759	OG0011807	-						BT_1481																				PGN_0141																													
N0.HOG0016760	OG0011808	-						BT_1485																				PGN_0732																													
N0.HOG0016761	OG0011809	-						BT_1487, BT_1486																																																	
N0.HOG0016762	OG0011810	-						BT_1495																				PGN_0371																													
N0.HOG0016763	OG0011811	-						BT_1508, BT_2487																																																	
N0.HOG0016764	OG0011812	-						BT_1532																				PGN_1683																													
N0.HOG0016765	OG0011813	-						BT_1569																				PGN_2088																													
N0.HOG0016766	OG0011814	-						BT_1801, BT_1598																																																	
N0.HOG0016767	OG0011815	-						BT_1613																				PGN_1436																													
N0.HOG0016768	OG0011816	-						BT_1614																				PGN_1435																													
N0.HOG0016769	OG0011817	-						BT_1616																				PGN_0648																													
N0.HOG0016770	OG0011818	-						BT_3176, BT_1629																																																	
N0.HOG0016771	OG0011819	-						BT_3050, BT_1632																																																	
N0.HOG0016772	OG0011820	-						BT_1637, BT_1702																																																	
N0.HOG0016773	OG0011821	-						BT_1640, BT_1705																																																	
N0.HOG0016774	OG0011822	-						BT_1665																				PGN_1114																													
N0.HOG0016775	OG0011823	-						BT_1675																				PGN_0789																													
N0.HOG0016776	OG0011824	-						BT_1687																				PGN_0501																													
N0.HOG0016777	OG0011825	-						BT_1690																				PGN_1661																													
N0.HOG0016778	OG0011826	-						BT_1731																				PGN_0238																													
N0.HOG0016779	OG0011827	-						BT_1745																				PGN_0910																													
N0.HOG0016780	OG0011828	-						BT_1789																				PGN_1777																													
N0.HOG0016781	OG0011829	-						BT_1808								CDR20291_0346																																									
N0.HOG0016782	OG0011830	-						BT_1809								CDR20291_0345																																									
N0.HOG0016783	OG0011831	-						BT_1818																				PGN_0449																													
N0.HOG0016784	OG0011832	-						BT_1835								CDR20291_2061																																									
N0.HOG0016785	OG0011833	-						BT_1836								CDR20291_2062																																									
N0.HOG0016786	OG0011834	-						BT_1837								CDR20291_2060																																									
N0.HOG0016787	OG0011835	-						BT_1846																				PGN_1645																													
N0.HOG0016788	OG0011836	-						BT_1865, BT_3829																																																	
N0.HOG0016789	OG0011837	-						BT_1890								CDR20291_0396																																									
N0.HOG0016790	OG0011838	-						BT_1898, BT_3651																																																	
N0.HOG0016791	OG0011839	-						BT_1899				CJJ81176_1461																																													
N0.HOG0016792	OG0011840	-						BT_1910								CDR20291_2856																																									
N0.HOG0016793	OG0011841	-						BT_1954, BT_2095																																																	
N0.HOG0016794	OG0011842	-						BT_3201, BT_1992																																																	
N0.HOG0016795	OG0011843	-						BT_2006																				PGN_1154																													
N0.HOG0016796	OG0011844	-						BT_2020																				PGN_1892																													
N0.HOG0016797	OG0011845	-						BT_2040																				PGN_2012																													
N0.HOG0016798	OG0011846	-						BT_2050																lpg1667																																	
N0.HOG0016799	OG0011847	-						BT_2052																				PGN_0803																													
N0.HOG0016800	OG0011848	-						BT_2053																				PGN_0804																													
N0.HOG0016801	OG0011849	-						BT_2054																				PGN_0805																													
N0.HOG0016802	OG0011850	-						BT_2087																				PGN_1606																													
N0.HOG0016803	OG0011851	-						BT_2114, BT_2516																																																	
N0.HOG0016804	OG0011852	-						BT_2133																				PGN_0884																													
N0.HOG0016805	OG0011853	-						BT_2134																				PGN_0690																													
N0.HOG0016806	OG0011854	-						BT_2140																				PGN_0383																													
N0.HOG0016807	OG0011855	-						BT_2179																				PGN_0609																													
N0.HOG0016808	OG0011856	-						BT_2205																				PGN_1875																													
N0.HOG0016809	OG0011857	-						BT_2208																				PGN_1021																													
N0.HOG0016810	OG0011858	-						BT_2228																				PGN_0988																													
N0.HOG0016811	OG0011859	-						BT_2235																				PGN_0768																													
N0.HOG0016812	OG0011860	-						BT_2254		Bresu_2948																																															
N0.HOG0016813	OG0011861	-						BT_2257																				PGN_1834																													
N0.HOG0016814	OG0011862	-						BT_2272																				PGN_0345																													
N0.HOG0016815	OG0011863	-						BT_2289																				PGN_0594																													
N0.HOG0016816	OG0011864	-						BT_2290																				PGN_0595																													
N0.HOG0016817	OG0011865	-						BT_2301																				PGN_0068																													
N0.HOG0016818	OG0011866	-						BT_2307																				PGN_0080																													
N0.HOG0016819	OG0011867	-						BT_2473, BT_2316																																																	
N0.HOG0016820	OG0011868	-						BT_2325																				PGN_0085																													
N0.HOG0016821	OG0011869	-						BT_2341							ROD_10461																																										
N0.HOG0016822	OG0011870	-						BT_2343, BT_2357																																																	
N0.HOG0016823	OG0011871	-						BT_2354																			Saro_3948																														
N0.HOG0016824	OG0011872	-						BT_2376								CDR20291_0281																																									
N0.HOG0016825	OG0011873	-						BT_2390																				PGN_1830																													
N0.HOG0016826	OG0011874	-						BT_2417																				PGN_0642																													
N0.HOG0016827	OG0011875	-						BT_2418																				PGN_1978																													
N0.HOG0016828	OG0011876	-						BT_2435																				PGN_0284																													
N0.HOG0016829	OG0011877	-						BT_2616, BT_2454																																																	
N0.HOG0016830	OG0011878	-						BT_2500, BT_3259																																																	
N0.HOG0016831	OG0011879	-						BT_3062, BT_2538																																																	
N0.HOG0016832	OG0011880	-						BT_2552								CDR20291_0112																																									
N0.HOG0016833	OG0011881	-						BT_2564																				PGN_1238																													
N0.HOG0016834	OG0011882	-						BT_2646																										RSc1661																							
N0.HOG0016835	OG0011883	-						BT_2660																				PGN_0178																													
N0.HOG0016836	OG0011884	-						BT_4181, BT_2680																																																	
N0.HOG0016837	OG0011885	-						BT_2685																				PGN_1429																													
N0.HOG0016838	OG0011886	-						BT_2698, BT_3822																																																	
N0.HOG0016839	OG0011887	-						BT_2732																				PGN_1358																													
N0.HOG0016840	OG0011888	-						BT_2749																				PGN_0521																													
N0.HOG0016841	OG0011889	-						BT_2751								CDR20291_2434																																									
N0.HOG0016842	OG0011890	-						BT_2758																				PGN_1636																													
N0.HOG0016843	OG0011891	-						BT_2759																				PGN_1678																													
N0.HOG0016844	OG0011892	-						BT_2761																				PGN_1222																													
N0.HOG0016845	OG0011893	-						BT_2768, BT_2767																																																	
N0.HOG0016846	OG0011894	-						BT_2770			BCAM0028																																														
N0.HOG0016847	OG0011895	-						BT_2796																				PGN_1968																													
N0.HOG0016848	OG0011896	-						BT_2809											ECOLIN_26215																																						
N0.HOG0016849	OG0011897	-						BT_2816																				PGN_0464																													
N0.HOG0016850	OG0011898	-						BT_2817																				PGN_0463																													
